epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9052,1.56571,2.08541,1.37146,0.71747,0.6908,0.70093,0.34186,1.6605,1.50054,1.40723,0.0033256,0.0033256,0.0033256
2,130.989,1.48724,1.34818,1.26223,0.76597,0.75688,0.77149,0.38254,1.57227,1.31432,1.32272,0.00652709,0.00652709,0.00652709
3,192.241,1.51623,1.24551,1.27629,0.496,0.52236,0.4891,0.22273,1.7625,2.13761,1.49267,0.00959657,0.00959657,0.00959657
4,252.399,1.54907,1.24483,1.3152,0.71301,0.69418,0.72512,0.37911,1.5995,1.25967,1.38299,0.009406,0.009406,0.009406
5,309.907,1.51913,1.14274,1.30023,0.78927,0.68565,0.76339,0.38957,1.6801,1.12902,1.40428,0.009208,0.009208,0.009208
6,366.808,1.47843,1.06177,1.27782,0.81352,0.7442,0.80627,0.44442,1.55381,0.99148,1.31751,0.00901,0.00901,0.00901
7,423.283,1.4678,1.0371,1.26811,0.81582,0.7965,0.84238,0.47466,1.50157,0.91455,1.294,0.008812,0.008812,0.008812
8,479.517,1.44236,0.98778,1.25287,0.84757,0.80639,0.85479,0.47439,1.5149,0.87872,1.29036,0.008614,0.008614,0.008614
9,535.805,1.44062,0.97031,1.25429,0.81922,0.79134,0.83563,0.46236,1.5184,0.95812,1.30076,0.008416,0.008416,0.008416
10,592.185,1.42922,0.94682,1.244,0.86619,0.8118,0.86896,0.49586,1.48277,0.84749,1.28805,0.008218,0.008218,0.008218
11,649.051,1.40907,0.9283,1.23748,0.85547,0.81325,0.86506,0.49427,1.47571,0.85296,1.27733,0.00802,0.00802,0.00802
12,705.398,1.40671,0.92127,1.2301,0.85765,0.8093,0.86736,0.50565,1.48005,0.83118,1.2703,0.007822,0.007822,0.007822
13,761.745,1.39501,0.89587,1.22409,0.86182,0.82093,0.87288,0.51277,1.44604,0.81254,1.26119,0.007624,0.007624,0.007624
14,818.03,1.39012,0.88206,1.22275,0.86476,0.83308,0.87954,0.51982,1.44489,0.78361,1.24755,0.007426,0.007426,0.007426
15,874.339,1.38243,0.86998,1.21689,0.85772,0.83777,0.88079,0.51967,1.43049,0.78276,1.24395,0.007228,0.007228,0.007228
16,931.038,1.37811,0.85893,1.2148,0.87472,0.83704,0.89589,0.53179,1.43521,0.75124,1.23861,0.00703,0.00703,0.00703
17,987.414,1.36956,0.8427,1.20774,0.87682,0.85501,0.89984,0.53846,1.42346,0.74195,1.23104,0.006832,0.006832,0.006832
18,1043.91,1.36533,0.84039,1.21161,0.87651,0.8497,0.90279,0.546,1.41856,0.7332,1.24442,0.006634,0.006634,0.006634
19,1100.38,1.35313,0.83705,1.20412,0.88376,0.85482,0.90293,0.54547,1.41963,0.72713,1.22388,0.006436,0.006436,0.006436
20,1156.76,1.35421,0.81911,1.19867,0.8856,0.85732,0.90817,0.55341,1.40925,0.69967,1.221,0.006238,0.006238,0.006238
21,1213.65,1.34754,0.81576,1.1989,0.86368,0.8471,0.89878,0.54599,1.40963,0.74137,1.22805,0.00604,0.00604,0.00604
22,1270.2,1.33398,0.80082,1.18549,0.88902,0.87111,0.91621,0.56509,1.39149,0.68107,1.20904,0.005842,0.005842,0.005842
23,1326.57,1.32932,0.7945,1.18602,0.88183,0.87152,0.91496,0.56181,1.38948,0.68799,1.20893,0.005644,0.005644,0.005644
24,1382.68,1.32378,0.78319,1.17835,0.88408,0.8697,0.9173,0.56639,1.39034,0.67276,1.20805,0.005446,0.005446,0.005446
25,1439.27,1.31642,0.77435,1.17839,0.88425,0.87031,0.91374,0.56641,1.38588,0.67574,1.20592,0.005248,0.005248,0.005248
26,1495.5,1.31474,0.76513,1.17454,0.88702,0.87348,0.9194,0.56913,1.38774,0.66453,1.20479,0.00505,0.00505,0.00505
27,1551.85,1.31061,0.76042,1.16854,0.88697,0.87938,0.91975,0.57309,1.37972,0.65897,1.19588,0.004852,0.004852,0.004852
28,1608.04,1.30889,0.76605,1.17001,0.89538,0.87601,0.92363,0.57493,1.37738,0.6505,1.1968,0.004654,0.004654,0.004654
29,1664.29,1.29897,0.75026,1.1673,0.89551,0.8741,0.92251,0.57748,1.37137,0.64832,1.19178,0.004456,0.004456,0.004456
30,1720.98,1.30159,0.74477,1.16795,0.88864,0.87835,0.92327,0.57761,1.37264,0.63583,1.19558,0.004258,0.004258,0.004258
31,1777.31,1.29052,0.736,1.15628,0.89474,0.88279,0.92601,0.58191,1.36246,0.63629,1.18323,0.00406,0.00406,0.00406
32,1833.65,1.2803,0.72843,1.15893,0.89112,0.88542,0.92264,0.58246,1.36552,0.63119,1.19021,0.003862,0.003862,0.003862
33,1890.06,1.27994,0.72186,1.15112,0.89472,0.88747,0.92811,0.587,1.3615,0.62188,1.1823,0.003664,0.003664,0.003664
34,1946.75,1.28379,0.72109,1.15173,0.89378,0.88983,0.92794,0.58384,1.36047,0.62592,1.18272,0.003466,0.003466,0.003466
35,2003.09,1.27449,0.70569,1.14909,0.89188,0.89229,0.93076,0.5889,1.36038,0.62188,1.18359,0.003268,0.003268,0.003268
36,2059.37,1.26894,0.70986,1.15047,0.90086,0.88749,0.93141,0.59273,1.35362,0.61655,1.1805,0.00307,0.00307,0.00307
37,2115.69,1.26969,0.69782,1.14582,0.89707,0.89291,0.92985,0.59115,1.35476,0.6114,1.18127,0.002872,0.002872,0.002872
38,2172.02,1.26041,0.69025,1.14303,0.89151,0.89338,0.92952,0.59242,1.35129,0.60935,1.17939,0.002674,0.002674,0.002674
39,2228.74,1.26104,0.69172,1.14167,0.89932,0.8963,0.93281,0.59303,1.35121,0.60614,1.17742,0.002476,0.002476,0.002476
40,2284.94,1.24775,0.67572,1.13564,0.89955,0.89009,0.93067,0.59315,1.35122,0.60259,1.17815,0.002278,0.002278,0.002278
41,2374.01,1.2415,0.61753,1.1464,0.89939,0.89042,0.93131,0.59503,1.3467,0.60368,1.17581,0.00208,0.00208,0.00208
42,2429.59,1.23154,0.60597,1.14379,0.90037,0.8925,0.93219,0.59755,1.34516,0.60128,1.17802,0.001882,0.001882,0.001882
43,2484.74,1.22482,0.60121,1.14144,0.90095,0.89001,0.9317,0.59837,1.34415,0.59646,1.17672,0.001684,0.001684,0.001684
44,2539.97,1.21874,0.59083,1.13655,0.90034,0.89364,0.93352,0.59951,1.34262,0.59628,1.17554,0.001486,0.001486,0.001486
45,2595.26,1.21056,0.58256,1.13116,0.90026,0.894,0.93351,0.59901,1.34418,0.59474,1.17736,0.001288,0.001288,0.001288
46,2650.46,1.20642,0.57667,1.12968,0.90201,0.89332,0.93231,0.5988,1.34329,0.59342,1.17619,0.00109,0.00109,0.00109
47,2706.17,1.19569,0.56722,1.12539,0.902,0.89388,0.9328,0.60082,1.34265,0.59187,1.17621,0.000892,0.000892,0.000892
48,2761.53,1.19364,0.56186,1.12459,0.90118,0.8966,0.93363,0.60108,1.34365,0.59007,1.17524,0.000694,0.000694,0.000694
49,2816.77,1.18468,0.5519,1.11689,0.90464,0.8931,0.93334,0.60184,1.34416,0.58897,1.17567,0.000496,0.000496,0.000496
50,2871.97,1.18285,0.5461,1.11711,0.90169,0.89625,0.93375,0.60256,1.34447,0.58756,1.17594,0.000298,0.000298,0.000298
