epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8775,1.55936,2.07828,1.37146,0.73638,0.76167,0.76202,0.39519,1.54359,1.30781,1.30913,0.0033256,0.0033256,0.0033256
2,126.653,1.48791,1.34773,1.25831,0.74033,0.71971,0.72443,0.35686,1.65136,1.26817,1.37986,0.00652709,0.00652709,0.00652709
3,183.48,1.5096,1.24584,1.27675,0.65763,0.65921,0.66684,0.33184,1.64784,1.46229,1.4227,0.00959657,0.00959657,0.00959657
