epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9785,1.56085,1.97016,1.32299,0.67535,0.69118,0.67272,0.30017,1.58716,6.55862,1.30048,0.00332749,0.00332749,0.00332749
2,173.733,1.50034,1.29566,1.2315,0.69636,0.67641,0.71477,0.3312,1.52909,1.69349,1.24992,0.00649596,0.00649596,0.00649596
3,253.682,1.52478,1.21399,1.24854,0.71924,0.67308,0.69776,0.28058,1.61829,6.8045,1.35497,0.00949944,0.00949944,0.00949944
4,336.327,1.54885,1.21871,1.28416,0.7628,0.70553,0.74367,0.31337,1.63404,4.6876,1.38456,0.0092575,0.0092575,0.0092575
5,413.135,1.51426,1.13748,1.26224,0.73383,0.72562,0.74112,0.32752,1.64931,3.58893,1.32117,0.00901,0.00901,0.00901
6,488.516,1.49437,1.08728,1.25388,0.73879,0.74697,0.77769,0.36709,1.52072,2.17286,1.29633,0.0087625,0.0087625,0.0087625
7,561.215,1.46216,1.06327,1.23749,0.75433,0.77,0.77145,0.38335,1.49083,1.18862,1.2639,0.008515,0.008515,0.008515
8,632.501,1.45447,1.03933,1.23473,0.78594,0.76923,0.81229,0.40828,1.48269,1.35175,1.25184,0.0082675,0.0082675,0.0082675
9,704.023,1.43438,1.00884,1.22394,0.77257,0.77317,0.80837,0.38549,1.50314,1.19895,1.27193,0.00802,0.00802,0.00802
10,775.608,1.42592,0.99378,1.21966,0.7789,0.79675,0.82173,0.39717,1.47703,1.488,1.2527,0.0077725,0.0077725,0.0077725
11,847.036,1.41976,0.96906,1.21137,0.78451,0.80083,0.83205,0.4222,1.44535,1.17668,1.21469,0.007525,0.007525,0.007525
12,918.433,1.41546,0.96709,1.20247,0.81092,0.77874,0.84543,0.43258,1.43403,1.11245,1.21738,0.0072775,0.0072775,0.0072775
13,989.891,1.40088,0.95044,1.20206,0.78238,0.81344,0.8463,0.43756,1.42993,2.04269,1.21485,0.00703,0.00703,0.00703
14,1061.06,1.38741,0.92488,1.19235,0.79274,0.80655,0.8447,0.46815,1.39856,0.96935,1.19874,0.0067825,0.0067825,0.0067825
15,1132.04,1.39536,0.91859,1.19421,0.87012,0.82818,0.88582,0.48625,1.40406,0.97495,1.20357,0.006535,0.006535,0.006535
16,1203.47,1.37635,0.88488,1.18587,0.89004,0.84518,0.9023,0.51901,1.37924,0.98209,1.18288,0.0062875,0.0062875,0.0062875
17,1275.06,1.36852,0.86175,1.17812,0.888,0.84133,0.9004,0.51117,1.38583,1.04484,1.19173,0.00604,0.00604,0.00604
18,1346.07,1.35895,0.84913,1.17794,0.89112,0.85915,0.91103,0.5304,1.37122,0.9101,1.17534,0.0057925,0.0057925,0.0057925
19,1417.02,1.35672,0.83283,1.17096,0.88828,0.85743,0.90843,0.53035,1.36255,0.86026,1.17101,0.005545,0.005545,0.005545
20,1488.88,1.35098,0.82694,1.16827,0.8908,0.87965,0.9235,0.54355,1.34673,0.82119,1.15596,0.0052975,0.0052975,0.0052975
21,1560.23,1.33595,0.80735,1.1607,0.90319,0.87572,0.92659,0.54934,1.34998,0.76198,1.15141,0.00505,0.00505,0.00505
22,1631.51,1.3349,0.80141,1.15746,0.89628,0.86994,0.91852,0.54027,1.34348,0.83336,1.1565,0.0048025,0.0048025,0.0048025
23,1702.76,1.32793,0.78788,1.14995,0.90194,0.87303,0.92268,0.5492,1.33962,0.90584,1.14024,0.004555,0.004555,0.004555
24,1773.48,1.32405,0.77903,1.15054,0.90298,0.87675,0.92573,0.5557,1.32749,0.76789,1.1425,0.0043075,0.0043075,0.0043075
25,1844.7,1.30841,0.76392,1.14192,0.90514,0.87403,0.92745,0.55611,1.33211,0.77755,1.14447,0.00406,0.00406,0.00406
26,1915.77,1.31525,0.75986,1.14581,0.90411,0.88001,0.92851,0.55446,1.32981,0.76185,1.14247,0.0038125,0.0038125,0.0038125
27,1986.85,1.30811,0.74841,1.14158,0.90998,0.8811,0.93302,0.56415,1.32377,0.68126,1.13876,0.003565,0.003565,0.003565
28,2057.97,1.30173,0.73798,1.14043,0.90782,0.88519,0.93284,0.56385,1.32305,0.69198,1.13754,0.0033175,0.0033175,0.0033175
29,2129.35,1.29728,0.72866,1.13504,0.90948,0.88164,0.93256,0.5602,1.32618,0.7185,1.13321,0.00307,0.00307,0.00307
30,2200.31,1.29131,0.72091,1.13099,0.90657,0.88473,0.93574,0.56641,1.3228,0.68415,1.1324,0.0028225,0.0028225,0.0028225
31,2287.86,1.28312,0.65906,1.14937,0.90653,0.89053,0.93559,0.56972,1.31647,0.67401,1.13149,0.002575,0.002575,0.002575
32,2357.69,1.2719,0.64642,1.14353,0.91088,0.89316,0.93812,0.57283,1.31126,0.6454,1.1296,0.0023275,0.0023275,0.0023275
33,2427.2,1.26322,0.63787,1.13589,0.91042,0.89501,0.93783,0.57445,1.30758,0.64986,1.12883,0.00208,0.00208,0.00208
34,2496.77,1.25675,0.62582,1.13337,0.914,0.89059,0.93777,0.57583,1.30912,0.63683,1.12514,0.0018325,0.0018325,0.0018325
35,2566.27,1.24559,0.61517,1.12556,0.9175,0.89171,0.93842,0.57537,1.3091,0.65159,1.12539,0.001585,0.001585,0.001585
36,2635.93,1.23742,0.60323,1.12383,0.91561,0.89126,0.93732,0.57522,1.30825,0.64042,1.12412,0.0013375,0.0013375,0.0013375
37,2705.53,1.23216,0.59511,1.11837,0.91901,0.89229,0.93803,0.57656,1.30802,0.62683,1.12292,0.00109,0.00109,0.00109
38,2775.22,1.2253,0.58726,1.11823,0.91843,0.88945,0.93637,0.57639,1.30974,0.63794,1.1256,0.0008425,0.0008425,0.0008425
39,2844.84,1.21508,0.57649,1.10977,0.91813,0.89062,0.93665,0.57655,1.3104,0.63855,1.12608,0.000595,0.000595,0.000595
40,2914.71,1.2085,0.56588,1.10617,0.91742,0.89271,0.93705,0.5761,1.30958,0.63065,1.12474,0.0003475,0.0003475,0.0003475
