epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2382,1.41172,1.14759,1.22342,0.81866,0.75961,0.80781,0.42837,1.54195,1.07753,1.28486,0.0033256,0.0033256,0.0033256
2,123.379,1.46051,1.1206,1.234,0.79558,0.76612,0.79817,0.43116,1.53963,1.08112,1.28171,0.00652709,0.00652709,0.00652709
3,179.67,1.49156,1.14115,1.25293,0.71313,0.68061,0.7028,0.35181,1.6682,1.24099,1.36944,0.00959657,0.00959657,0.00959657
4,235.989,1.53711,1.18216,1.28808,0.69183,0.63268,0.65909,0.32362,1.70979,1.31738,1.41097,0.009406,0.009406,0.009406
5,292.801,1.50076,1.11316,1.27704,0.73279,0.60398,0.67853,0.31994,1.72388,1.32274,1.42881,0.009208,0.009208,0.009208
6,349.653,1.48377,1.05743,1.26473,0.80853,0.78282,0.81973,0.44816,1.53221,1.01405,1.29697,0.00901,0.00901,0.00901
7,405.877,1.45791,1.00609,1.25829,0.8023,0.75579,0.80897,0.44488,1.56709,1.03242,1.33969,0.008812,0.008812,0.008812
8,462.071,1.44746,0.98533,1.25214,0.79167,0.79737,0.83574,0.4638,1.52119,0.95239,1.29416,0.008614,0.008614,0.008614
9,517.911,1.43295,0.9593,1.23864,0.82812,0.80247,0.844,0.48135,1.50309,0.8803,1.2867,0.008416,0.008416,0.008416
10,573.719,1.41495,0.93292,1.23113,0.83309,0.77992,0.83581,0.47575,1.5361,0.90539,1.30865,0.008218,0.008218,0.008218
11,629.693,1.41696,0.92403,1.23151,0.85599,0.83211,0.88121,0.51388,1.46391,0.81444,1.25986,0.00802,0.00802,0.00802
12,685.465,1.40082,0.89508,1.22073,0.85756,0.81592,0.87511,0.50957,1.47368,0.81506,1.25104,0.007822,0.007822,0.007822
13,741.278,1.38714,0.87991,1.21167,0.86765,0.8296,0.87793,0.50381,1.4666,0.81482,1.25401,0.007624,0.007624,0.007624
14,796.954,1.38684,0.87995,1.21315,0.86913,0.82912,0.88678,0.52719,1.43201,0.78227,1.23432,0.007426,0.007426,0.007426
15,852.718,1.38197,0.86709,1.20984,0.86093,0.83012,0.8818,0.5233,1.43667,0.78979,1.2357,0.007228,0.007228,0.007228
16,908.627,1.37015,0.84999,1.19974,0.8688,0.84146,0.88556,0.52924,1.42907,0.74785,1.22639,0.00703,0.00703,0.00703
17,964.365,1.36814,0.84361,1.19921,0.87138,0.85853,0.89725,0.54172,1.41496,0.73358,1.20854,0.006832,0.006832,0.006832
18,1019.9,1.36346,0.83208,1.19593,0.87014,0.84656,0.89787,0.53613,1.418,0.74646,1.22253,0.006634,0.006634,0.006634
19,1075.78,1.35164,0.81522,1.19065,0.88232,0.86436,0.90797,0.55461,1.4052,0.70567,1.20843,0.006436,0.006436,0.006436
20,1131.5,1.34824,0.81969,1.18497,0.8766,0.86228,0.90389,0.55043,1.41049,0.71482,1.21026,0.006238,0.006238,0.006238
21,1187.44,1.34194,0.81265,1.18552,0.87033,0.86586,0.90728,0.55293,1.4038,0.70078,1.21591,0.00604,0.00604,0.00604
