epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1243.2,1.33261,0.79796,1.17724,0.87518,0.86707,0.91155,0.55453,1.41225,0.69011,1.21408,0.005842,0.005842,0.005842
23,1298.93,1.33674,0.79398,1.17501,0.89181,0.86366,0.91262,0.56614,1.38683,0.68599,1.19262,0.005644,0.005644,0.005644
24,1354.53,1.32053,0.78405,1.1726,0.88656,0.87184,0.91597,0.56761,1.3838,0.67598,1.19452,0.005446,0.005446,0.005446
25,1410.25,1.32063,0.77941,1.16937,0.89125,0.8788,0.91604,0.56724,1.38665,0.66583,1.19347,0.005248,0.005248,0.005248
26,1466.51,1.31824,0.77201,1.16898,0.89168,0.86813,0.91804,0.56811,1.39199,0.66821,1.20249,0.00505,0.00505,0.00505
27,1522.2,1.30674,0.75942,1.16295,0.89355,0.87731,0.92097,0.57299,1.38424,0.65531,1.18847,0.004852,0.004852,0.004852
28,1577.99,1.30135,0.75863,1.1609,0.88668,0.88089,0.91688,0.57295,1.37286,0.65731,1.18579,0.004654,0.004654,0.004654
29,1633.73,1.2976,0.74542,1.15646,0.89481,0.88055,0.92242,0.57772,1.36771,0.6483,1.18429,0.004456,0.004456,0.004456
30,1689.46,1.29535,0.73654,1.15253,0.88899,0.8834,0.92245,0.57859,1.374,0.64743,1.18753,0.004258,0.004258,0.004258
31,1745.4,1.30088,0.73825,1.15398,0.8931,0.88563,0.92709,0.58438,1.36501,0.63487,1.17911,0.00406,0.00406,0.00406
32,1801.26,1.28706,0.73112,1.15191,0.89401,0.88986,0.92667,0.58444,1.35904,0.63119,1.17638,0.003862,0.003862,0.003862
33,1856.86,1.2831,0.72424,1.14767,0.89559,0.88994,0.92808,0.58614,1.36459,0.63196,1.18055,0.003664,0.003664,0.003664
34,1912.57,1.27125,0.71776,1.14656,0.88953,0.89242,0.92802,0.58575,1.36089,0.62371,1.17703,0.003466,0.003466,0.003466
35,1968.2,1.26388,0.70723,1.14291,0.89772,0.89004,0.92811,0.58544,1.36164,0.62374,1.18061,0.003268,0.003268,0.003268
36,2024.21,1.26345,0.69908,1.13816,0.9013,0.88684,0.93025,0.58938,1.35632,0.61913,1.17517,0.00307,0.00307,0.00307
37,2079.89,1.26415,0.69815,1.13976,0.89797,0.89584,0.93065,0.59232,1.35627,0.61504,1.17554,0.002872,0.002872,0.002872
38,2135.65,1.25536,0.69322,1.13466,0.898,0.89327,0.9293,0.59085,1.35605,0.61239,1.1725,0.002674,0.002674,0.002674
39,2191.24,1.2575,0.68749,1.13353,0.90113,0.8922,0.92932,0.59096,1.35501,0.6112,1.17728,0.002476,0.002476,0.002476
40,2247.39,1.24478,0.67791,1.12885,0.89726,0.88915,0.93072,0.59422,1.35159,0.60569,1.17232,0.002278,0.002278,0.002278
41,2321.4,1.24348,0.61969,1.13985,0.90221,0.89119,0.93052,0.59421,1.34796,0.60325,1.16716,0.00208,0.00208,0.00208
42,2376.37,1.23407,0.61171,1.13846,0.89954,0.89211,0.93089,0.59486,1.34921,0.60349,1.17407,0.001882,0.001882,0.001882
43,2431.31,1.2253,0.60069,1.13585,0.89818,0.89349,0.9314,0.59728,1.34475,0.59921,1.1715,0.001684,0.001684,0.001684
44,2486.17,1.21907,0.59099,1.12978,0.90075,0.89815,0.93147,0.59806,1.34287,0.59666,1.16839,0.001486,0.001486,0.001486
45,2541.45,1.20994,0.58269,1.12609,0.90032,0.89955,0.93285,0.59847,1.34201,0.59436,1.16963,0.001288,0.001288,0.001288
46,2598.82,1.20636,0.57301,1.12478,0.89978,0.89686,0.93314,0.5999,1.34095,0.59154,1.16756,0.00109,0.00109,0.00109
47,2659.53,1.19513,0.56516,1.11684,0.90066,0.89942,0.93276,0.60008,1.34017,0.59182,1.16868,0.000892,0.000892,0.000892
48,2719.52,1.19108,0.55902,1.11803,0.9021,0.89815,0.9327,0.60006,1.34165,0.59093,1.16951,0.000694,0.000694,0.000694
49,2779.85,1.18579,0.55015,1.11423,0.90527,0.89614,0.93274,0.60021,1.34302,0.58936,1.16971,0.000496,0.000496,0.000496
50,2839.71,1.18198,0.5471,1.11122,0.90501,0.89719,0.93222,0.60126,1.34146,0.58882,1.16825,0.000298,0.000298,0.000298
